o_orderkey,o_custkey,o_totalprice,o_orderdate
38405,232,352925.27,1993-07-16
1604,787,157799.68,1993-07-17
12610,61,6872.61,1993-07-17
18722,550,71481.4,1993-07-17
19174,637,341295.65,1993-07-17
24069,19,45048.7,1993-07-17
24833,964,185612.02,1993-07-17
31842,17,123411.02,1993-07-17
6531,416,156074.91,1993-07-18
13255,781,117742.06,1993-07-18
16289,784,197216.55,1993-07-18
30528,668,79179.17,1993-07-18
35137,133,121880.95,1993-07-18
39330,529,126815.87,1993-07-18
14534,989,250305.61,1993-07-19
18341,829,83090.67,1993-07-19
23559,1046,149676.62,1993-07-19
34499,854,295812.37,1993-07-19
38470,976,165171.18,1993-07-19
3684,160,138224.35,1993-07-20
17344,1022,217120.88,1993-07-20
35043,679,131479.53,1993-07-20
16065,958,39640.46,1993-07-21
23041,616,202124.99,1993-07-21
32002,115,151897.22,1993-07-21
38017,389,192308.31,1993-07-21
10306,107,80729.88,1993-07-22
22470,383,48155.09,1993-07-22
27779,874,24348.5,1993-07-22
28932,781,133446.72,1993-07-22
3076,640,130832.43,1993-07-23
10374,236,19287.14,1993-07-23
12518,757,131596.86,1993-07-23
16165,473,106465.67,1993-07-23
26373,226,127828.34,1993-07-23
26692,913,17476.73,1993-07-23
33446,797,124342.59,1993-07-23
3109,856,274470.84,1993-07-24
26784,766,142556.19,1993-07-24
32323,992,216269.03,1993-07-24
15463,622,191542.14,1993-07-25
35046,151,309023.49,1993-07-25
2822,553,36548.58,1993-07-26
5445,805,170821.26,1993-07-26
15271,982,241430.3,1993-07-26
23719,50,117736.59,1993-07-26
24064,25,158803.75,1993-07-26
31073,166,213138.07,1993-07-26
37056,1010,82388.07,1993-07-26
8228,373,71533.54,1993-07-27
13090,91,126915.79,1993-07-27
19205,409,208200.2,1993-07-27
20225,419,156128.17,1993-07-27
35271,235,860.18,1993-07-27
4962,727,50146.74,1993-07-28
12870,956,47379.42,1993-07-28
16640,169,101634.75,1993-07-28
18241,868,155024.63,1993-07-28
23234,590,24718.26,1993-07-28
36262,742,185417.85,1993-07-28
3489,751,72279.73,1993-07-29
26341,916,112122.42,1993-07-29
31809,598,69425.19,1993-07-29
19843,493,149702.08,1993-07-30
22054,338,107227.99,1993-07-30
25634,49,247688.88,1993-07-30
1603,10,41039.19,1993-07-31
20832,712,129737.14,1993-07-31
24196,172,89687.05,1993-07-31
39650,409,127992.6,1993-07-31
13127,817,63157.78,1993-08-01
22151,778,85472.9,1993-08-01
34407,608,107632.08,1993-08-01
17441,56,36122.83,1993-08-02
28321,331,290601.2,1993-08-02
31107,409,78432.74,1993-08-02
15969,1027,70823.93,1993-08-03
34980,712,122186.85,1993-08-03
26244,296,213478.47,1993-08-04
27744,521,54882.76,1993-08-04
29762,427,192857.98,1993-08-04
31879,499,79510.92,1993-08-04
33154,70,25673.96,1993-08-04
37572,62,159479.4,1993-08-04
1602,7,4607.93,1993-08-05
3108,592,86857.39,1993-08-05
12483,88,128913.75,1993-08-05
15618,1039,184985.91,1993-08-05
19136,484,16928.39,1993-08-05
19748,97,78043.47,1993-08-05
24097,880,159112.14,1993-08-05
26816,328,101804,1993-08-05
31495,845,106768.72,1993-08-05
6019,397,32364.7,1993-08-06
16069,331,103682.47,1993-08-06
17956,449,101558.75,1993-08-06
8416,76,283681.04,1993-08-07
18210,818,327372.53,1993-08-07
18598,211,115211.15,1993-08-07
34535,571,212662.4,1993-08-07
193,554,64679.23,1993-08-08
9985,845,61064.93,1993-08-08
10081,344,223618.86,1993-08-08
12485,131,285348.85,1993-08-08
2821,817,38033.13,1993-08-09
15110,979,52303.08,1993-08-09
4932,853,64925.79,1993-08-10
34916,178,37194.94,1993-08-10
8899,613,96854.92,1993-08-11
10435,836,151197.61,1993-08-11
15942,521,139496.59,1993-08-11
19104,803,118876.39,1993-08-11
7715,302,102482.28,1993-08-12
13861,874,234307.88,1993-08-12
31650,872,177296.39,1993-08-12
22117,271,155405.85,1993-08-13
24615,1012,117287.79,1993-08-13
5061,704,57259.86,1993-08-14
18560,988,62730.89,1993-08-14
19687,676,261961.23,1993-08-14
33537,811,93745.38,1993-08-14
34023,872,206025.19,1993-08-14
35878,238,126165.45,1993-08-14
17381,646,117968.43,1993-08-15
20679,500,318781.27,1993-08-15
35079,581,205045,1993-08-15
6625,941,10914,1993-08-16
19686,679,92662.51,1993-08-16
23459,211,108882.27,1993-08-16
38176,677,157225.04,1993-08-16
1382,926,180130.33,1993-08-17
23972,725,121710.87,1993-08-17
24227,994,150726.94,1993-08-17
29632,104,47810.46,1993-08-17
30114,895,33706.87,1993-08-17
3463,619,126473.13,1993-08-18
11491,112,183408.88,1993-08-18
12710,818,280088.82,1993-08-18
17409,539,210372.99,1993-08-18
21154,775,32560.67,1993-08-18
22274,1033,61171.24,1993-08-18
22820,1043,165427.33,1993-08-18
28580,344,16798.64,1993-08-18
33733,848,40771.41,1993-08-18
34850,272,54523.36,1993-08-18
6244,995,49688.08,1993-08-19
13094,790,89978.29,1993-08-19
26688,668,212740.36,1993-08-19
27232,235,66763.81,1993-08-19
2368,91,97323.64,1993-08-20
21254,160,72345.78,1993-08-20
23874,271,23301.3,1993-08-20
34821,872,256108.24,1993-08-20
4161,823,257514.05,1993-08-21
9152,847,118703.6,1993-08-21
15045,304,213826.54,1993-08-21
25154,221,88965.02,1993-08-21
26023,883,164829.31,1993-08-21
3431,325,48743.1,1993-08-22
22053,617,230699.38,1993-08-22
26693,598,92770.79,1993-08-22
27104,181,149004.18,1993-08-22
30883,769,236955.01,1993-08-22
31204,875,230418.95,1993-08-22
4547,758,60609.49,1993-08-23
11488,526,83624.94,1993-08-23
31238,193,208470.59,1993-08-23
36480,814,188369.69,1993-08-23
1350,355,64204.42,1993-08-24
3493,565,67243.53,1993-08-24
10789,964,85669.01,1993-08-24
11907,929,177895.69,1993-08-24
23331,782,101016.35,1993-08-24
6756,799,228691.84,1993-08-25
10819,400,58490.46,1993-08-25
11460,535,67743.43,1993-08-25
32577,344,176168.55,1993-08-25
34209,901,264767.57,1993-08-25
34562,104,160908.75,1993-08-25
14117,908,334514.22,1993-08-26
23712,466,46786.03,1993-08-26
4615,200,16306.13,1993-08-27
13767,646,196627.76,1993-08-27
20547,566,30453.16,1993-08-27
24007,407,214242.34,1993-08-27
28068,625,243031.26,1993-08-27
23362,1009,119626.87,1993-08-28
32834,391,38283.36,1993-08-28
37860,337,149440.37,1993-08-28
515,994,221202.75,1993-08-29
28769,28,185356.36,1993-08-29
31239,515,153197.34,1993-08-29
31616,691,207028.64,1993-08-29
641,931,169782.45,1993-08-30
9251,226,29014.79,1993-08-30
39236,829,58424.73,1993-08-30
39907,307,10538.17,1993-08-30
12929,643,120315.19,1993-08-31
14597,835,288237.39,1993-08-31
30372,292,174970.13,1993-08-31
32229,389,179122.16,1993-08-31
34530,925,196344.77,1993-08-31
17542,791,99863.11,1993-09-01
27175,103,56269.21,1993-09-01
31366,133,90039.04,1993-09-01
33634,374,12658.11,1993-09-01
8225,178,177635.83,1993-09-02
17410,316,112416.06,1993-09-02
19684,283,158812.85,1993-09-02
5093,544,236851.63,1993-09-03
14341,467,184751.05,1993-09-03
18791,791,36544.06,1993-09-03
28064,961,228109.7,1993-09-03
33127,1015,14540.02,1993-09-03
2055,679,84613.07,1993-09-04
2274,728,88863.69,1993-09-04
2593,640,176132.54,1993-09-04
16513,595,125903.44,1993-09-04
999,422,180112.18,1993-09-05
14720,281,142570.91,1993-09-05
18145,293,149817.28,1993-09-05
25952,911,123628.98,1993-09-05
36295,113,180433.04,1993-09-05
9639,505,209778.13,1993-09-06
27843,77,122098.96,1993-09-06
36449,824,197575.94,1993-09-06
5702,677,237747.42,1993-09-07
8736,233,239319.1,1993-09-07
14594,100,24800.83,1993-09-07
22209,460,106573.29,1993-09-07
24806,437,64035.85,1993-09-07
31872,343,154144.96,1993-09-07
11014,223,122212.03,1993-09-08
27876,130,118952.14,1993-09-08
29894,176,225593.85,1993-09-08
17666,221,123722.63,1993-09-09
35777,551,131753.54,1993-09-09
6720,715,186856.31,1993-09-10
9414,934,74170.16,1993-09-10
19714,1034,227757.08,1993-09-10
9796,737,206180.99,1993-09-11
18213,763,103901.73,1993-09-11
31911,280,3333.35,1993-09-11
36448,658,203291.55,1993-09-11
36800,838,165233.66,1993-09-11
38753,569,115562.91,1993-09-11
6115,1009,243226.35,1993-09-12
7200,484,248169.44,1993-09-12
8640,853,24624.92,1993-09-12
17475,604,173659.17,1993-09-12
21025,97,107117.95,1993-09-12
35141,700,209237.3,1993-09-12
9797,31,191881.32,1993-09-13
21862,316,120691.4,1993-09-13
26276,505,87415.82,1993-09-13
6848,511,224455.24,1993-09-14
15303,665,175690.15,1993-09-14
22882,574,73871.32,1993-09-14
36673,859,416522.74,1993-09-14
1542,1000,161935.84,1993-09-15
18274,191,10996.66,1993-09-15
28033,31,203789.75,1993-09-15
31040,689,256175.62,1993-09-15
3104,482,133480.06,1993-09-16
7968,262,160409.26,1993-09-16
11522,34,32135.37,1993-09-16
20517,184,228195.69,1993-09-16
23168,25,335430.5,1993-09-16
23328,460,42375.05,1993-09-16
14051,419,20584.14,1993-09-17
14373,358,86108.73,1993-09-18
15335,943,147109.13,1993-09-18
22212,818,79015.22,1993-09-18
23842,794,234816.97,1993-09-18
25254,887,205612.04,1993-09-18
36005,446,164421.96,1993-09-18
36099,728,131159.17,1993-09-18
20966,449,165903.24,1993-09-19
25284,214,137361.4,1993-09-19
36290,469,29820.6,1993-09-19
358,17,269873.67,1993-09-20
4612,424,119655.14,1993-09-20
8000,107,191619.2,1993-09-20
18215,319,81951.27,1993-09-20
21249,550,166476.6,1993-09-20
30087,199,138837.24,1993-09-20
36869,568,138692.13,1993-09-20
14529,961,188086.4,1993-09-21
23906,880,75669.45,1993-09-21
25477,952,100833.64,1993-09-21
27745,29,202059.79,1993-09-21
7749,385,161468.26,1993-09-22
11780,20,102004.35,1993-09-22
12967,802,8896.11,1993-09-22
17286,307,224502.31,1993-09-22
25056,257,106850.79,1993-09-22
30851,254,10637.11,1993-09-22
35652,1021,353587.64,1993-09-22
711,446,155737.42,1993-09-23
1863,512,110571.99,1993-09-23
17988,868,246402.2,1993-09-23
31808,158,202230.17,1993-09-23
2631,247,106782.07,1993-09-24
22307,491,141158.84,1993-09-24
28801,76,57970.04,1993-09-24
29504,596,253936.32,1993-09-24
32455,239,121820.38,1993-09-24
33763,133,37992.3,1993-09-24
36773,808,136755.55,1993-09-24
5543,805,173621.65,1993-09-25
20576,895,243550.09,1993-09-25
27654,664,76710.76,1993-09-25
28832,626,104160.09,1993-09-25
773,923,168834.46,1993-09-26
8613,850,91252.69,1993-09-26
10657,514,85841.4,1993-09-26
17249,283,277248.27,1993-09-26
17858,874,219890.96,1993-09-26
18914,109,36687.84,1993-09-26
21127,130,128904.2,1993-09-26
33505,451,197226.52,1993-09-26
416,281,100360.97,1993-09-27
5766,334,46444.35,1993-09-27
6753,85,149433.48,1993-09-27
14950,991,103945.72,1993-09-27
18597,1001,227130.98,1993-09-27
22661,173,92042.32,1993-09-27
30884,509,99618.49,1993-09-27
35750,896,112072.86,1993-09-27
37925,40,208280.77,1993-09-27
39238,794,214395.94,1993-09-27
11654,554,129391.63,1993-09-28
15906,473,116659.48,1993-09-28
39140,55,201551.92,1993-09-28
259,304,91123.66,1993-09-29
3745,784,34726.67,1993-09-29
34979,835,126788.2,1993-09-29
10563,1,206369.57,1993-09-30
29445,913,28375.39,1993-09-30
32998,793,59627.78,1993-09-30
34244,715,117133.57,1993-09-30
37829,715,210710.83,1993-09-30
7457,469,230393.86,1993-10-01
7489,41,114095.47,1993-10-01
16741,322,36700.64,1993-10-01
24710,701,38913.14,1993-10-01
14535,914,104074.61,1993-10-02
25543,439,50272.11,1993-10-02
5764,916,74309.46,1993-10-03
35686,175,110767.16,1993-10-03
37127,893,264169.86,1993-10-03
4928,16,70276.02,1993-10-04
8965,512,112810.33,1993-10-04
24260,109,176978.34,1993-10-04
28162,362,110245.07,1993-10-04
32130,754,74306.41,1993-10-04
35426,841,129258.27,1993-10-04
38497,5,91136.54,1993-10-04
16261,500,159988.3,1993-10-05
28355,556,295834.01,1993-10-05
30150,829,25101,1993-10-05
33573,230,149637.94,1993-10-05
7616,236,88525.57,1993-10-06
17123,853,161823.74,1993-10-06
4289,872,24069.05,1993-10-07
13443,382,152918.2,1993-10-07
14081,626,130739.96,1993-10-07
20192,812,96710.57,1993-10-07
20871,362,57483.29,1993-10-07
23046,898,290548.72,1993-10-07
27427,841,123118.74,1993-10-07
33600,619,75816.19,1993-10-07
8933,125,30462.94,1993-10-08
16194,328,172077.57,1993-10-08
27974,961,202016.88,1993-10-08
34246,433,227320.45,1993-10-08
7619,553,72123,1993-10-09
17568,1027,301342.76,1993-10-09
31779,274,67395.62,1993-10-09
32519,313,193882.51,1993-10-09
5350,523,157641.13,1993-10-10
10147,817,200384.57,1993-10-10
12960,871,129468.61,1993-10-10
20545,823,199432.53,1993-10-10
20868,380,37752.22,1993-10-10
34823,82,84286.7,1993-10-10
4455,121,134253.02,1993-10-11
9860,437,138033.64,1993-10-11
24516,374,66865.12,1993-10-11
11716,337,135263.81,1993-10-12
17952,233,79023.92,1993-10-12
22469,674,257506.77,1993-10-12
39397,11,86888.31,1993-10-12
39557,961,197867.48,1993-10-12
6976,658,135754.68,1993-10-13
7015,607,226539.2,1993-10-13
7559,694,243017.27,1993-10-13
34849,274,296236.38,1993-10-13
35233,68,105594.96,1993-10-13
37410,511,126004.86,1993-10-13
3,865,199896.28,1993-10-14
1507,844,135553.65,1993-10-14
13440,607,16640.99,1993-10-14
26401,608,91603.53,1993-10-14
14402,586,103376.89,1993-10-15
28645,232,140213.45,1993-10-15
30023,196,149880.89,1993-10-16
30598,277,117215.79,1993-10-16
31492,8,201879.19,1993-10-16
31588,944,25520.54,1993-10-16
31745,325,91464.21,1993-10-16
325,281,74559.75,1993-10-17
12164,919,163057.88,1993-10-17
13476,1021,238567.76,1993-10-17
22912,982,142159.58,1993-10-17
34977,841,116509.27,1993-10-17
37959,709,167923.09,1993-10-17
4899,421,14900.14,1993-10-18
256,874,179870.64,1993-10-19
16836,400,41266.05,1993-10-19
19491,257,23222.52,1993-10-19
31301,25,132375.22,1993-10-19
36323,679,46447.53,1993-10-19
15456,595,221119.78,1993-10-20
22694,653,78445.02,1993-10-20
24903,880,273698.24,1993-10-20
4965,364,177292.72,1993-10-21
8871,550,35863.33,1993-10-21
9731,199,22492.96,1993-10-21
14086,242,60110.76,1993-10-21
23106,1031,150597.89,1993-10-21
29895,238,147709.54,1993-10-21
32193,179,30026.72,1993-10-21
2628,388,255474.49,1993-10-22
21696,310,160572.62,1993-10-22
23207,142,162384.89,1993-10-23
10498,757,122296.24,1993-10-24
12261,790,310217.93,1993-10-24
16834,82,89464.22,1993-10-24
31077,139,24564.4,1993-10-24
12417,757,172105.61,1993-10-25
28836,122,94019.97,1993-10-25
32516,652,115738.79,1993-10-25
35522,151,49435.86,1993-10-26
33,469,134229.96,1993-10-27
230,718,118211.6,1993-10-27
10852,392,226918.07,1993-10-27
14758,859,44550.78,1993-10-27
14981,475,250296.84,1993-10-27
22785,967,74694.78,1993-10-27
38050,532,165949.29,1993-10-27
37795,67,17510.49,1993-10-28
2374,28,154695.72,1993-10-29
12902,448,307894.97,1993-10-30
14306,412,23229.1,1993-10-30
36615,736,27725.11,1993-10-30
37669,652,219414.24,1993-10-30
1888,835,296467.78,1993-10-31
11236,157,225783.56,1993-10-31
20741,1036,185845.14,1993-10-31
25062,541,78471.48,1993-10-31
36548,370,113014.37,1993-10-31
37799,392,101301.84,1993-10-31
14949,238,164548.7,1993-11-01
32326,158,12345.45,1993-11-01
32389,457,280686.51,1993-11-01
36003,979,61474.82,1993-11-01
38337,166,192669.43,1993-11-01
26631,517,346094.29,1993-11-02
30917,49,151245.53,1993-11-02
34721,356,120079.82,1993-11-02
19974,694,166859.31,1993-11-04
23271,602,89855.93,1993-11-04
14407,667,21714.28,1993-11-05
15206,811,177153.87,1993-11-05
15878,8,210009.2,1993-11-05
25573,920,280786.4,1993-11-05
28802,433,131464.72,1993-11-05
32228,1027,112348.25,1993-11-05
34816,566,102343.06,1993-11-06
37957,391,171215.16,1993-11-06
14912,526,25414.43,1993-11-07
22822,293,119553.88,1993-11-07
23680,565,38037.33,1993-11-07
27335,886,50743.27,1993-11-07
33889,1039,148121.54,1993-11-07
37062,559,86113.54,1993-11-07
2498,673,82769.45,1993-11-08
5506,635,9870.71,1993-11-08
9600,376,75862.33,1993-11-08
13348,887,99062.44,1993-11-08
13379,202,88336.78,1993-11-08
20193,160,292531.68,1993-11-08
1792,331,126153.18,1993-11-09
8834,185,165066.23,1993-11-09
16449,731,153487.31,1993-11-09
5059,289,103299.96,1993-11-10
7363,869,61778.04,1993-11-10
12097,82,174835.04,1993-11-10
12295,619,70126.02,1993-11-10
15078,20,255026.41,1993-11-10
22498,562,129335.68,1993-11-10
39682,584,12850.32,1993-11-10
7556,52,51264.78,1993-11-11
8321,236,238938.52,1993-11-11
10915,950,152611.05,1993-11-11
11911,248,213276.8,1993-11-11
22179,877,59748.62,1993-11-11
28036,482,202187.46,1993-11-11
9091,476,191638.79,1993-11-12
29990,178,64132.25,1993-11-12
8992,608,149186.58,1993-11-13
11299,35,273747.15,1993-11-13
24738,748,84992.55,1993-11-13
25189,164,162637.81,1993-11-13
4034,647,232197.48,1993-11-14
8647,772,92355.13,1993-11-14
11136,919,55905.4,1993-11-14
15398,568,41718.75,1993-11-14
19430,407,98109.94,1993-11-14
38980,356,183401.88,1993-11-14
39139,598,316896.78,1993-11-14
2048,118,48421.19,1993-11-15
4580,563,138618.06,1993-11-15
14499,253,375048.19,1993-11-15
38789,134,260205.42,1993-11-15
867,176,13467.39,1993-11-16
26081,799,44782.16,1993-11-16
10117,514,103252.28,1993-11-17
10499,610,158379.7,1993-11-17
11586,709,20431.09,1993-11-17
22404,475,61929.59,1993-11-17
23717,529,103094.42,1993-11-17
25121,59,61445.15,1993-11-17
16453,796,331868.25,1993-11-18
29382,1009,165199.47,1993-11-18
38625,595,171262.65,1993-11-18
39393,356,77103.83,1993-11-18
2563,428,232389.59,1993-11-19
2752,407,227460.61,1993-11-19
13607,251,155708.63,1993-11-19
17697,1036,244539.13,1993-11-19
22887,1039,109767.34,1993-11-19
34658,841,157994.45,1993-11-19
38464,625,59450.72,1993-11-19
8001,883,258518.3,1993-11-20
23366,196,125641.6,1993-11-20
2085,343,56926.78,1993-11-21
8582,466,195247.23,1993-11-21
13895,470,156428.98,1993-11-21
4101,992,36278.97,1993-11-22
4768,946,5928.93,1993-11-22
5863,449,65495.41,1993-11-22
5988,205,42938.78,1993-11-22
21863,457,162923.68,1993-11-22
33152,674,91787.49,1993-11-22
38917,211,309396.7,1993-11-22
15010,806,122698.01,1993-11-23
27047,313,161939.67,1993-11-23
36134,976,28378.31,1993-11-23
677,868,163578.94,1993-11-24
807,1006,287561.37,1993-11-24
24128,592,93618.44,1993-11-24
25828,368,176813.88,1993-11-24
27333,706,290232.31,1993-11-24
36071,887,33287.34,1993-11-24
2759,811,131658.2,1993-11-25
4675,602,82816.36,1993-11-25
11427,299,249122.68,1993-11-25
20900,577,39238.04,1993-11-25
27681,758,107346.13,1993-11-25
30912,713,107952.62,1993-11-25
33123,883,117725.36,1993-11-25
35910,940,223020.62,1993-11-25
37603,103,195896.96,1993-11-25
5189,493,268514.19,1993-11-26
9958,535,181240.9,1993-11-26
15015,925,69191.3,1993-11-26
19941,739,160836.65,1993-11-26
30754,343,158703.09,1993-11-26
32135,476,231052.94,1993-11-26
16738,886,107628.55,1993-11-27
37091,526,99872.37,1993-11-27
26630,268,104183.72,1993-11-28
31718,1030,65759.99,1993-11-28
35105,782,41769.17,1993-11-28
35460,233,310271.65,1993-11-28
1732,1021,208228.23,1993-11-29
4291,617,107333.95,1993-11-29
6726,766,208645.12,1993-11-29
1953,1046,79042.44,1993-11-30
2753,109,223610.97,1993-11-30
10209,847,351191.35,1993-11-30
12002,577,54445.89,1993-11-30
14789,316,176192.54,1993-11-30
31072,506,39986.42,1993-11-30
35265,1010,181532.88,1993-11-30
9957,1025,50076.14,1993-12-01
10822,830,16201.17,1993-12-01
24102,889,181331.72,1993-12-01
27527,1004,115226.02,1993-12-01
31296,643,201009,1993-12-01
37216,551,302175.81,1993-12-01
1831,494,92802.82,1993-12-02
13799,697,145756.3,1993-12-02
25092,682,199831.99,1993-12-02
36962,712,77874.36,1993-12-02
1316,112,227145.57,1993-12-03
15362,268,48386.07,1993-12-03
25315,410,198085.6,1993-12-03
26305,971,138490.74,1993-12-03
35042,376,35522.36,1993-12-03
38406,662,168130.03,1993-12-03
19139,748,138595.03,1993-12-04
25350,829,278065.58,1993-12-04
37093,382,79923.04,1993-12-04
1825,1027,161979.91,1993-12-05
3586,841,177932.08,1993-12-05
24866,517,135637.52,1993-12-05
27746,565,375482.13,1993-12-05
3783,305,201041.42,1993-12-06
7746,454,134890.48,1993-12-06
18887,148,105363.21,1993-12-06
20036,217,261020.69,1993-12-06
36997,766,90435.44,1993-12-06
16901,874,113785.71,1993-12-07
3591,941,107444.6,1993-12-08
12452,254,152659.62,1993-12-08
23264,47,149805.88,1993-12-08
35490,472,213130.8,1993-12-08
13187,646,72708.11,1993-12-09
18468,992,103855.06,1993-12-09
20674,206,154543.76,1993-12-09
27396,340,169425.02,1993-12-09
2919,368,212136.4,1993-12-10
2976,197,190388.66,1993-12-10
6914,490,66380.73,1993-12-10
6948,779,273460.25,1993-12-10
6978,196,180725.04,1993-12-10
8097,352,107685.89,1993-12-10
10274,958,47085.07,1993-12-10
17957,680,47379.47,1993-12-10
34949,832,123342.64,1993-12-10
7558,658,129596.05,1993-12-11
11047,122,87017.48,1993-12-11
6053,940,63719.48,1993-12-12
34438,772,62048.61,1993-12-12
39427,335,269110.5,1993-12-12
10242,71,200429.02,1993-12-13
12160,997,72623.85,1993-12-13
16579,401,96162.34,1993-12-13
16992,187,34288.83,1993-12-13
19492,815,273317.61,1993-12-13
23330,43,140494.77,1993-12-13
30149,269,220452.29,1993-12-13
35908,590,109269.85,1993-12-13
38210,334,292692.26,1993-12-13
13125,248,159885.06,1993-12-14
2339,760,81020.62,1993-12-15
10178,805,31398.19,1993-12-15
15109,296,247169.33,1993-12-15
15808,659,230006.73,1993-12-15
36805,379,64085.7,1993-12-15
642,280,30763.06,1993-12-16
23746,95,139549.61,1993-12-16
26080,421,194027.05,1993-12-16
34501,302,89217.54,1993-12-16
25287,598,76898.55,1993-12-17
34597,911,66218.09,1993-12-17
70,451,107342.71,1993-12-18
2659,575,112916.58,1993-12-18
13124,7,48897.5,1993-12-18
21666,655,84436.76,1993-12-18
21702,989,15280.91,1993-12-18
28388,526,111182.23,1993-12-18
32996,715,137171.65,1993-12-18
7681,721,43564.42,1993-12-19
16995,371,68552.99,1993-12-19
31139,317,189227.43,1993-12-19
36995,685,71435.31,1993-12-19
37446,763,42983.79,1993-12-19
33826,155,168018.06,1993-12-20
36741,926,183737.92,1993-12-20
37218,388,95974.36,1993-12-20
39842,884,168836.21,1993-12-20
3169,127,155145.69,1993-12-21
3905,148,87232.66,1993-12-21
10112,155,24028.14,1993-12-21
18627,922,151699.27,1993-12-21
5287,175,37380.57,1993-12-22
5479,488,123541.02,1993-12-22
8515,709,172743.11,1993-12-22
9028,1033,56018.09,1993-12-22
12612,1012,204667.1,1993-12-22
18822,46,121337.21,1993-12-22
26275,1006,1150.4,1993-12-22
16327,485,70577.97,1993-12-23
22656,544,29615.93,1993-12-23
39043,1013,69136.9,1993-12-23
1761,736,265075.39,1993-12-24
15366,749,61140.89,1993-12-24
32064,490,62773.35,1993-12-24
34308,88,85630.74,1993-12-24
5538,968,99317.82,1993-12-25
11713,979,154845.66,1993-12-25
16613,314,195382.58,1993-12-25
35972,7,33247.97,1993-12-25
3299,625,46670.78,1993-12-26
5346,256,191149.01,1993-12-26
16358,223,43876.62,1993-12-26
38976,256,147653.76,1993-12-26
5957,619,294937.57,1993-12-27
9031,967,235090.35,1993-12-27
12420,1042,158779.29,1993-12-27
19841,5,225461.76,1993-12-27
23329,967,223722.83,1993-12-27
27009,1040,148486.9,1993-12-27
30470,565,232825.83,1993-12-27
30757,460,67948.51,1993-12-27
195,949,184458.21,1993-12-28
14213,334,48327.23,1993-12-28
32131,290,105400.85,1993-12-28
35589,122,185398.97,1993-12-28
229,784,202030.22,1993-12-29
258,295,223775.32,1993-12-29
7301,1049,58235.39,1993-12-29
21024,494,90226.43,1993-12-29
1699,586,91351.65,1993-12-30
23399,766,74068.34,1993-12-30
27521,925,50326.87,1993-12-30
28067,923,342647.47,1993-12-30
38562,157,68021.97,1993-12-30
353,13,270495.62,1993-12-31
19556,182,187071.71,1993-12-31
24320,268,79966.56,1993-12-31
25735,862,170538.36,1993-12-31
27011,770,202050.11,1993-12-31
36293,316,123445.38,1993-12-31
290,826,83089.81,1994-01-01
1028,481,205349.06,1994-01-01
12519,640,164047.12,1994-01-01
32418,1027,86688.73,1994-01-01
13729,55,82805.23,1994-01-02
28774,254,109595.89,1994-01-02
1861,481,131027.9,1994-01-03
9285,709,105768.05,1994-01-03
33827,61,7712.03,1994-01-03
37537,710,151802.18,1994-01-03
7909,545,52124.2,1994-01-04
9637,988,121478.37,1994-01-04
9762,1045,249572.35,1994-01-04
11972,976,150760.15,1994-01-04
17442,526,16731.35,1994-01-04
30016,478,234701.14,1994-01-04
1249,1048,62604.96,1994-01-05
8710,677,100542.1,1994-01-05
13794,412,260948.03,1994-01-05
34375,596,257245.04,1994-01-05
10853,193,50125.07,1994-01-06
25601,506,167578.78,1994-01-06
28451,353,301441.06,1994-01-06
28678,673,8911.86,1994-01-06
2304,316,108321.89,1994-01-07
6854,584,284037.37,1994-01-07
14274,397,251459.87,1994-01-07
16770,619,22282.04,1994-01-07
16961,397,40231.58,1994-01-07
23488,292,224564.15,1994-01-07
3073,947,171948.9,1994-01-08
18405,683,139263.97,1994-01-08
32295,380,119660.19,1994-01-08
33923,101,72957.77,1994-01-08
2496,940,187634.4,1994-01-09
4193,25,196533.39,1994-01-09
7203,790,115569.39,1994-01-09
22946,799,190436.73,1994-01-09
29794,718,31475.51,1994-01-09
30083,184,108287.07,1994-01-09
39971,133,168799.9,1994-01-09
8576,484,114113.36,1994-01-10
18561,256,219464.29,1994-01-10
30821,292,162555.28,1994-01-10
31715,863,194966.11,1994-01-10
14596,838,154081.66,1994-01-11
16870,814,156452.09,1994-01-11
20037,641,226219.89,1994-01-11
28290,835,249719.69,1994-01-11
28999,929,54354.98,1994-01-11
31553,853,137149.43,1994-01-11
33988,671,12643.8,1994-01-11
19655,259,53811.47,1994-01-12
21830,383,39726.94,1994-01-12
33797,658,224417.37,1994-01-12
7461,832,158492.86,1994-01-13
20549,100,49117.7,1994-01-13
27813,1046,60411.1,1994-01-13
37862,944,198768.98,1994-01-13
12453,850,187137.22,1994-01-14
13602,943,195077.26,1994-01-14
25541,130,165919.5,1994-01-14
8325,517,44946.53,1994-01-15
30567,589,208268.12,1994-01-15
32935,775,77204.48,1994-01-15
34691,167,210553.28,1994-01-15
6884,817,220270.91,1994-01-16
12676,589,8826.56,1994-01-16
22243,745,241979.32,1994-01-16
25511,151,96871.66,1994-01-16
37729,479,112158.51,1994-01-16
2370,983,86857.5,1994-01-17
5638,755,115034.72,1994-01-17
17989,254,92473.58,1994-01-17
21153,829,232251.71,1994-01-17
22147,628,179064.35,1994-01-17
30915,994,188732.97,1994-01-17
31781,976,202993.65,1994-01-17
39173,389,170165.05,1994-01-17
1921,604,88856.53,1994-01-18
5285,490,118436.85,1994-01-18
10272,511,236825.6,1994-01-18
12771,316,160543.82,1994-01-18
